#nodes 	 #regions 	#procs
28 		 2 		 2 
nodeID  regionID  procID
       0	       0	       0
       1	       0	       0
       2	       0	       0
       3	       0	       0
       7	       0	       0
       8	       0	       0
       9	       0	       0
      10	       0	       0
      14	       0	       0
      15	       0	       0
      16	       0	       0
      17	       0	       0
      21	       0	       0
      22	       0	       0
      23	       0	       0
      24	       0	       0
       3	       1	       0
       4	       1	       1
       5	       1	       1
       6	       1	       1
      10	       1	       0
      11	       1	       1
      12	       1	       1
      13	       1	       1
      17	       1	       0
      18	       1	       1
      19	       1	       1
      20	       1	       1
      24	       1	       0
      25	       1	       1
      26	       1	       1
      27	       1	       1
